mlsnum	Originating_MLS	status	listprice	currentprice	soldprice	listdate	solddate	expireddate	dom	address	city	state	zip	area	tract	type	beds	baths	diningroom	familyroom	sqft	age	numstories	unitfloor	lotsize	mapcode	agentname	agentphone	agentemail	officename	officephone	showinginst	agentcomments	remarks	schooldistrict	elementaryschool	juniorhighschool	highschool	newconstruction	hoafee	hoafreq	taxes	taxyear	xstreets	proptype	housenum	streetname	township	ownership	design	style	possession	propcondition	interiorfeat	mainent	mainbdrm	otherrooms	kitchen	kitfixt	cookingfuel	bsmt	bsmtdesc	attic	laundry	fireplace	fireplacetype	Flooring	HeatFuel	HeatType	Cooling	HotWater	Water	Sewer	Electric	Foundation	Roof	ExterSurface	PorchDeck	Garage	GarageType	Parking	ExterFeat	LotDesc	ShoreWater	PoolType	CHFeeInc	CHExtras	OtherStruc	NewFin	picture_url	sellerconcessions	cnty	dtmodified	pid	pmp	certifications	additionalbankowned	additionalthirdpartyapproval	additionalshortsale	sellerconcessionsamount	finalshortsale	finalthirdpartyapproval	finalbankowned	distance	pending_date	AbovrGrIntSqFt	BelowGrIntSqFt	HomeBuilt	BasemtFtPrintPercent	BasemtFinPrintPercent	County	TotalRooms	Acres	HasFireplace	HasBasement	HasGarage	IsCondoAss	IsHOA	HasSellerConcession	FinalFinancing	OriginalPrice	NumberOfUnits	OwnerName	TaxID	Assessment	Subdivision	FullBaths	PartialBaths	HasCentralAC	Model	CondoBuildingName
6294619	TREND	STL	$320,000	$320,000	$320,000	10/16/2013	02/28/2015		29	9 Bentwood Dr	Bordentown	NJ	08505-3173	20304	Clifton Mill	SNG	4	2.1	Y	Y	2,471	11			0x0		Jay Ricigliano			Action USA Jay Robert Realtors	(609) 890-6858			MAKE AN OFFER BANK IS READY! Bring your fussiest Buyer! This beautiful Brainbridge model Clifton home has it all, and in immaculate condition. Features 4 nice size bedrooms and 2.5 baths, spacious 21x10 morning room that overlooks the in ground pool with gate pavers and much more.  Enter into the grand foyer and fall in love with the open floor plan, formal living room and dining room, large kitchen w/gourmet Island and plenty of cabinet space. The oversize family room is the place the whole family will enjoy, The second floor features four bedrooms with a large master suite.	Bordentown Regional				N	33.00	M	$10,853	2014	Waterford	1	9	Bentwood Dr	Bordentown Twp	FeeSimple	2-Story	Colonial	Negotiable	Average+	CableTVWired	Foyer/VestEn	WalkInClstMB	Den/Study/Li, Great/GathRm	EatInKitchen	KitIsland, SelfClnOven, BuiltInDishW	GasCooking	FullBasement	UnfinishBsmt		BsmtLaundry	OneFirePl	LR/GRFireP	FinishedWood, W/WCarpeting, Vinyl/LinFl	GasHeat	HotAirHeat	CentralAir	GasHotWater	PublicWater	PublicSewer			PitchedRoof, ShingleRoof	VinylExt	Porch	2-CarGarage	GarDoorOpner	3+CarParking, DrivewayPrk	Sidewalks, StreetLights, UndrgrndElec	LevelLot, FrontYard, RearYard, SideYard(s)		InGroundPool					http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6294619		203	3/1/2015 12:13:04 AM	600928750	1023				True		False	False	False		06/05/2014			N			Burlington County		0.29	Y	Y	Y	N	Y	N	Conventional	280000.00		New Owners	04-00093  04-00009	355000	Clifton Mill	2	1	Y			
6299116	TREND	STL	$155,000	$149,900	$149,900	10/24/2013	06/17/2015		593	309 Ward Ave	Bordentown	NJ	08505-2303	20304	Bossert Estates	SNG	3	1.0	Y	N	1,409	55			65X152		Joseph Tardiff			Joseph M Tardiff	(609) 291-9710			Presently used as a 2 bedroom home. The wall on the first floor have been removed to create L Shaped Space Living Room, Dining Room. Optional First floor Bedroom can be Re-Installed or used as existing Living Room.  1990 From the Frame Renovation Done.       FHA APPRAISED     IMMEDIATE OOCCUPANCY. Best Dollar for Dollar Value around.  FOR DETAILS   609 209 3519	Bordentown Regional				N			$5,478	2014	Willow	1	309	Ward Ave	Bordentown Twp	FeeSimple	1.5-Story	Cape							KitW/NookBar		ElecCooking	FullBasement			BsmtLaundry	OneFirePl			GasHeat		CentralAir	GasHotWater	PublicWater	PublicSewer				WoodExt		NoGarage		2-CarParking				NoPool					http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6299116		203	6/30/2015 11:43:28 AM	600933314	754				True		False	False	False		06/17/2015			N			Burlington County		0.23	Y	Y	N	N	N	N	FHA 203(b)	179900.00		Joseph Tardiff	04-00070-00017	179200	Bossert Estates	1	0	Y			
6351241	TREND	STL	$247,000	$238,000	$238,000	03/13/2014	12/20/2014		240	25 Honey Flower Dr	Bordentown	NJ	08620-9687	20304	Village Grande	SNG	2	2.0	Y	N	1,400	11			0x0		Martha De Candia			CB Schiavone & Associates	(609) 291-9400			This beauty is ready to move right in. Pride of ownership shows throughout..2013 upgrades include stainless electric range/oven, refrig. micro. dishwasher. All LG appliances. 42" cabinetry, quartz countertop, remote electric retractable awning over fenced in patio. Also new in 2013 w/w carpet in both bedrooms with Hardwood floors throughout. Additional 2013 upgrades include whole house humidifier, attic fan, new heating and AC systems, tinted windows in front and rear. Master bath boasts a raised commode. Don't pass this up. A must see in this popular 55+ adult community.	Bordentown Regional			Bordentown Regional H.S.	N	140.00	M	$6,214	2014	Hogback Rd.	1	25	Honey Flower Dr	Bordentown Twp	FeeSimple	1-Story	Ranch	Immediate	Average+	Skylight(s), 9Ft+Ceiling, CeilngFan(s), Attic/HseFan, CableTVWired, SprinklerSys, BayWindow, StallShower	Foyer/VestEn	WalkInClstMB		EatInKitchen		ElecCooking	NoBasement		PullDnStairs	MainFlrLndry	NoFireplace		FinishedWood, W/WCarpeting, TileFl	GasHeat	HotAirHeat	CentralAir	GasHotWater	PublicWater	PublicSewer	100-150AmpEl		FlatRoof, PitchedRoof	VinylExt		2-CarGarage		3+CarParking	Sidewalks, StreetLights, LawnSprinklr, UndrgrndElec	LevelLot		AssocPool	ComAreaMaint, LawnMaint, SnowRemoval, TrashRemoval, ClubHouse				http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6351241		203	1/6/2015 12:29:48 AM	600987110	311				False		False	False	False		11/05/2014			N			Burlington County		0.11	N	N	Y	Y	Y	N	Conventional	274900.00		Owner of Record	04-00019  01-00013	203300	Village Grande	2	0	Y			
6384158	TREND	STL	$194,500	$193,000	$193,000	05/02/2014	02/23/2015		77	15 Kennebec Ct	Bordentown	NJ	08505-3114	20304	Williamsburg Village	RTC	3	1.1	N	N	1,296	27			0		Jennifer D'Alesio S A			RE/MAX Tri County	(609) 587-9300			As good as it gets!  This spacious end unit features updated country kitchen with white cabinets, sharp glass tile back splash and upgraded flooring.  Large enough for family and friends. Lots of updates in this beautiful home, newer carpet, newer hot water heater, newer heater and air conditioning, less than one year old, updated electric. Both baths have recently been redone.  Main bath has whirlpool tub and corian counter top.  Master bedroom is large and has lots of closet space and other bedrooms are nice size.  Really nice, very spacious.  Put this great townhouse on the top of your list, you won't be disappointed.  Williamsburg village offers  walking and biking paths, playgrounds, tennis courts, and baseball fields.	Bordentown Regional		Bordentown	Bordentown Regional H.S.	N	135.00	M	$5,710	2014	Williamsburg D	1	15	Kennebec Ct	Bordentown Twp	Condo-FeeSim	2-Story	Colonial	Negotiable	Average+		LR/GREntr	WalkInClstMB		EatInKitchen		GasCooking	NoBasement		AccessPanel	MainFlrLndry	NoFireplace		W/WCarpeting, TileFl	GasHeat	HotAirHeat	CentralAir	GasHotWater	PublicWater	PublicSewer	100-150AmpEl	BltOnSlabFou	PitchedRoof, ShingleRoof	VinylExt	Patio	1-CarGarage	Att/BuiltInG	2-CarParking, DrivewayPrk, ParkingLot	Sidewalks, StreetLights	CulDeSacLot		NoPool	ComAreaMaint, ExtBldgMaint, LawnMaint, ManagemtFee				http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6384158		203	3/10/2015 12:29:03 AM	601020976	77				False		False	False	False		10/14/2014			N			Burlington County	6	0.03	N	N	Y	N	Y	N	Conventional	194500.00		Adam & Kelly Levinson	04-00092  05-00022 098-C.098	186800	Williamsburg Village	1	1	Y	Madison		
6387718	TREND	STL	$169,900	$162,500	$162,500	05/12/2014	12/31/2014		185	31 Gloucester Ct	Bordentown	NJ	08505-3122	20304	Williamsburg Village	RTC	3	1.1	Y	N	1,296	26			0		Valerie Belardo			RE/MAX at Home	(609) 784-8021			End unit townhouse! The 1st floor features; living room with built-in fireplace/TV surround, half bathroom, laundry room/utility room, one car attached garage, large kitchen/dining room combination area. The 2nd floor features 3 bedrooms - all with brand new carpet and a full bathroom. You will be surprised at the spaciousness of this unit.	Bordentown Regional	Peter Muschal School	MacFarland Junior School	Bordentown Regional H.S.	N	165.00	M	$5,615	2014	E.Constitution	1	31	Gloucester Ct	Bordentown Twp	Condo-FeeSim	2-Story	Colonial	30-90Days	Average+		LR/GREntr			KitW/BrkfstR	KitBuiltInRa, BuiltInDishW, BuiltInRefig	GasCooking	NoBasement			MainFlrLndry	OneFirePl	LR/GRFireP	W/WCarpeting, Vinyl/LinFl, TileFl, LaminateFl	GasHeat	HotAirHeat	CentralAir	GasHotWater	PublicWater	PublicSewer		BltOnSlabFou	PitchedRoof, ShingleRoof	VinylExt		1-CarGarage	Att/BuiltInG	DrivewayPrk	Sidewalks, StreetLights	CornerLot		NoPool	ComAreaMaint, ExtBldgMaint				http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6387718		203	1/15/2015 12:29:09 AM	601024688	185				False		False	False	False		11/12/2014			N			Burlington County	6	0.00	Y	N	Y	Y	N	N	Conventional	182900.00		Hoffman	04-00092  03-00022 295-C.295	183700	Williamsburg Village	1	1	Y			
6390599	TREND	STL	$272,900	$268,000	$268,000	05/15/2014	01/30/2015		164	103 Windingbrook Rd	Bordentown	NJ	08505-3145	20304	Clifton Mill	RTC	3	2.1	Y	Y	1,745	16			00		Michael Gerstnicker			BHHS Fox & Roach-Hamilton	(609) 890-3300			BEAUTIFULLY MAINTAINED TOWNHOUSE in highly sought after Clifton Mill. From the moment you step into this Home you will be impressed. This Elegant 3 Bedroom, 2.5 Bathroom home offers an abundance of sunshine and space. The Family Room is enhanced by a Two Story Ceiling,Full Length Windows and a Chimney exists if new owner wishes to install a Fire-Place. The Eat-In Kitchen  has Corian Countertops and flows nicely into the Formal Dining Room or outside to the Deck. The First Floor has Crown Molding and Wood Trim Throughout. The 2nd Floor Master Bedroom has a large Walk-In-Closet, Private Bathroom. All Bathrooms throughout the Home have newer Tile and Vanities. Another 2 Bedrooms and Laundry Closet finish off the 2nd Floor. New Furnace in 2013. Also a Full Basement with plenty of storage space and One Car Garage, Driveway parking and a parking lot right across the street. Close to all Major Highways and Shopping. Don't miss this one- It won't last !!	Bordentown Regional	Peter Muschal School	MacFarland Junior School	Bordentown Regional H.S.	N	129.00	M	$6,609	2014	Clifton Mill	1	103	Windingbrook Rd	Bordentown Twp	Condo-FeeSim	2-Story	Colonial	Negotiable	Average+	Cathedral/Va, CeilngFan(s), CableTVWired	LR/GREntr	FulBathMnBed, WalkInClstMB		EatInKitchen	SelfClnOven, BuiltInDishW, Disposal, BuiltInMicro	GasCooking	FullBasement	UnfinishBsmt	AccessPanel	UpprFlrLndry	NoFireplace		FinishedWood, W/WCarpeting, TileFl, LaminateFl	GasHeat	HotAirHeat	CentralAir	GasHotWater	PublicWater	PublicSewer		ConcreteFoun	PitchedRoof, ShingleRoof	VinylExt, BrickExt	Deck	1-CarGarage	Att/BuiltInG, InsideAccess, GarDoorOpner	1-CarParking, ParkingLot	Sidewalks, StreetLights, LawnSprinklr	LevelLot		AssocPool	ComAreaMaint, LawnMaint, TrashRemoval, SwimFee, TennisCourt				http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6390599	Closing Costs and Pre paids	203	2/14/2015 12:34:40 AM	601027666	164				False	6000	False	False	False		11/25/2014			N			Burlington County	7	0.06	N	Y	Y	N	Y	Y	Conventional	272900.00		Gregory L Meyer Jr & Jessica Meyer	04-00093  01-00127	216200	Clifton Mill	2	1	Y	Baldwin		
6392011	TREND	STL	$189,000	$188,000	$188,000	05/16/2014	12/17/2014		185	5 Poplar Ave	Bordentown	NJ	08505-1918	20304	Tree Streets	SNG	3	1.0	N	N	912	47			73X125		Mark Brower			RE/MAX Tri County	(609) 587-9300			Immaculate and spotless Ranch with Great Curb appeal located in the Tree Streets section of Bordentown. This home is so clean you can eat off the floors. Three Bedrooms one Bath with NEW hip style roof with soffit overhang to keep house cooler and warmer.New vinyl siding and top of the line windows and doors, alarm   system too. Carport and patio area as well, full bone dry basement just   waiting to be finished and possibly add another bathroom. Seller has spent a lot of money to make this true gem a solid home. Serene back yard with new shed and garden with lovely rose bushes all around the house and perennials too. Lots of closet space and also in the kitchen there is a large and high end wall unit a/c that cools the whole house, original owner true pride of ownership. Hardwood floors throughout home. 2 new high end ceiling fans. New basement steps. Conversion to central air not a problem ducts are part of forced hot air. This home is so quaint and so clean and can be moved right into!! Hurry, hurry!!	Bordentown Regional			Bordentown Regional H.S.	N			$4,726	2014	Rt 206	1	5	Poplar Ave	Bordentown Twp	FeeSimple	1-Story	Ranch	30-90Days	Average+					EatInKitchen		GasCooking	FullBasement	UnfinishBsmt		BsmtLaundry	NoFireplace			GasHeat	HotAirHeat	Wall/WndowAC	GasHotWater	PublicWater	PublicSewer				VinylExt		NoGarage		2-CarParking				NoPool					http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6392011	Closing costs	203	12/17/2014 4:15:19 PM	601029159	185				False	6000	False	False	False		12/17/2014			N			Burlington County	5	0.21	N	Y	N	N	N	Y	FHA 203(b)	219900.00		Lucky New Treed Street Owner	04-00048-00022  02	154600	Tree Streets	1	0	N	Ranch		
6412367	TREND	STL	$38,500	$38,500	$38,500	06/23/2014	12/08/2014		107	35 Route 130	Bordentown	NJ	08620-2714	20304	None Available	SNG	3	1.1	N	Y	1,575	214			107X215		Charlenia Owens			Global Elite Realty	(856) 885-2242			CORPORATE OWNED! Property being sold "as-is" and is subject to Hud Guidelines 24 CFR 206.125. Buyer responsible for certificate of occupancy and inspections. Buyer to verify all information before placing an offer. Underground oil tank.	Bordentown Regional				N			$4,652	2014	Groveville Rd	1	35	Route 130	Bordentown Twp	FeeSimple	2-Story	Colonial							FullKit-NoEI		ElecCooking	PartialBsmnt			NoLaundry	NoFireplace			OilHeat		NoA/C	OilHotWater	PublicWater	OnSiteSeptic				VinylExt		NoGarage		DrivewayPrk				NoPool					http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6412367		203	12/19/2014 11:37:59 AM	601050107	107		1		False		False	False	True		10/07/2014			N			Burlington County	6	0.53	N	Y	N	N	N	N	Cash	90000.00		Fannie Mae	04-00018-00002	152200	None Available	1	1	N			
6415717	TREND	ACT	$225,000	$225,000		06/28/2014			401	5 Willow Rd	Bordentown	NJ	08505-2714	20304	Bossert Estates	SNG	3	2.0	Y	N	1,615	61			106X89		Jerry Boyer			The Bell Team, LLC	(609) 298-5600			Great looking Bossert Estates cape featuring 3 bedrooms, 2 full baths on a picturesque corner lot. Kitchen has plenty of cabinet space, corian countertops and sliding doors opening onto a large deck with motorized awning. Living room and dining area features hardwood flooring. Master bedroom with  full bath and additonal full bath on main level. Two nice sized bedrooms on 2nd floor. Basement is partially finished with built in heater and air conditioner. Laundry and workshop also in basement with plenty of storage. Side yards features a large carport to keep your car dry on those long wintery days plus an outdoor shed for storage needs. Property close to all major highways for commuting to metro areas.	Bordentown Regional	Peter Muschal School	Bordentown	Bordentown Regional H.S.	N			$6,330	2014	Cherry	1	5	Willow Rd	Bordentown Twp	FeeSimple	2-Story	Cape	30-90Days	Average+	SecuritySys, CeilngFan(s), CableTVWired, WaterTreatSy, Wet/DryBar, BayWindow, StallShower, ReplacementWdws	LR/GREntr	FulBathMnBed		EatInKitchen	KitIsland, KitPantry, KitDoubleSin, KitCookTop, WallOven, SelfClnOven, BuiltInDishW, BuiltInRefig	GasCooking	FullBasement	Finished(Partial)		BsmtLaundry	NoFireplace		FinishedWood, W/WCarpeting, TileFl	GasHeat	HotAirHeat	CentralAir, Wall/WndowAC	GasHotWater	PublicWater	PublicSewer	100-150AmpEl, CircBreakers	Block/BrickF	PitchedRoof, ShingleRoof	VinylExt	Deck, Porch	NoGarage	Carport	3+CarParking	Sidewalks, StreetLights, Fencing, SatelliteDsh, ExteriorLght	CornerLot, IrregularLot, LevelLot, OpenLot, FrontYard, RearYard, SideYard(s)		NoPool			Shed(s)		http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6415717		203	7/30/2015 11:10:07 AM	601053575	401				False									N			Burlington County	6	0.22	N	Y	N	N	N	N		249000.00		Of record	04-00070-00003	206800	Bossert Estates	2	0	Y			
6416252	TREND	STL	$160,000	$155,000	$155,000	06/27/2014	12/31/2014		130	18 Exeter Ct	Bordentown	NJ	08505-3112	20304	Williamsburg Village	RTC	2	2.1	Y	N	1,480	29			920		Jane Belger			RE/MAX Tri County	(609) 587-9300			FHA approved development as of 10/30/2014!  End unit nestled on the far side of Williamsburg Village, what a great location! Newer dishwasher, range, windows, doors and berber carpet throughout. Wood burning fireplace for cozy winter nights. Updated sliding doors open to spacious fenced yard and patio. Close to shopping, turnpike, train and picturesque City of Bordentown. Seller is removing wall that divides garage.	Bordentown Regional		MacFarland Junior School	Bordentown Regional H.S.	N	131.00	M	$5,377	2014	.	1	18	Exeter Ct	Bordentown Twp	Condo-FeeSim	2-Story	Colonial	30-90Days						EatInKitchen		GasCooking	NoBasement		PullDnStairs, AccessPanel	MainFlrLndry	OneFirePl			GasHeat		CentralAir	GasHotWater	PublicWater	PublicSewer				Alu/SteelExt		1-CarGarage	Att/BuiltInG	2-CarParking				NoPool					http://www.trendmls.com/AssetLocator/getAsset.ashx?EntityType=Listing&AssetType=Image&BusinessPartnerID=1&ImageNumber=1&ImageVersion=LRG&MlsNumber=6416252		203	1/15/2015 12:26:04 AM	601054144	130				False		False	False	False		11/02/2014			N			Burlington County	5	0.02	Y	N	Y	N	Y	N	VA	185000.00		.	04-00092  06-00022 152-C.152	175900	Williamsburg Village	2	1	Y			
